,H_bar,Q_bar,T_bar,P_bar,H_kam,Q_kam,T_kam,Q_bar_Orig,H_bar_Orig,P_ger_Orig,P_Cigelka,P_Regetovka,day_of_year,hour_of_day
2008-01-01 00:00:00,153.0,2.216,0.0666666666666666,0.3,97.0,0.630916666666666,0.0,2.216,153.0,0.0,0.932,0.0,1,0
2008-01-01 01:00:00,153.0,2.2163854166666668,0.06874999999999991,0.2875,96.91666666666667,0.6252517361111105,0.0,2.216,153.0,0.0,0.492,0.0,1,1
2008-01-01 02:00:00,153.0,2.2167708333333334,0.07083333333333322,0.27499999999999997,96.83333333333333,0.6195868055555549,0.0,2.216,153.0,0.0,0.429,0.0,1,2
2008-01-01 03:00:00,153.0,2.2171562500000004,0.07291666666666652,0.2625,96.75,0.6139218749999994,0.0,2.216,153.0,0.0,1.594,0.0,1,3
2008-01-01 04:00:00,153.0,2.217541666666667,0.07499999999999983,0.25,96.66666666666667,0.6082569444444439,0.0,2.216,153.0,0.0,0.071,0.0,1,4
2008-01-01 05:00:00,153.0,2.2179270833333335,0.07708333333333314,0.2375,96.58333333333333,0.6025920138888883,0.0,2.216,153.0,0.0,0.316,0.0,1,5
2008-01-01 06:00:00,153.0,2.2183125,0.07916666666666644,0.22499999999999998,96.5,0.5969270833333328,0.0,2.216,153.0,0.0,0.975,0.0,1,6
2008-01-01 07:00:00,153.0,2.2186979166666667,0.08124999999999975,0.2125,96.41666666666667,0.5912621527777773,0.0,2.216,153.0,0.123,0.187,0.158,1,7
2008-01-01 08:00:00,153.0,2.2190833333333333,0.08333333333333307,0.2,96.33333333333333,0.5855972222222217,0.0,2.216,153.0,0.356,0.447,0.265,1,8
2008-01-01 09:00:00,153.0,2.21946875,0.08541666666666638,0.1875,96.25,0.5799322916666662,0.0,2.216,153.0,0.646,1.098,0.296,1,9
2008-01-01 10:00:00,153.0,2.219854166666667,0.08749999999999969,0.175,96.16666666666667,0.5742673611111107,0.0,2.216,153.0,0.476,1.529,0.3,1,10
2008-01-01 11:00:00,153.0,2.2202395833333335,0.08958333333333299,0.1625,96.08333333333333,0.568602430555555,0.0,2.216,153.0,0.293,2.57,0.136,1,11
2008-01-01 12:00:00,153.0,2.220625,0.0916666666666663,0.15,96.0,0.5629374999999995,0.0,2.216,153.0,0.121,2.692,0.101,1,12
2008-01-01 13:00:00,153.0,2.2210104166666667,0.09374999999999961,0.1375,95.91666666666667,0.5572725694444439,0.0,2.216,153.0,0.088,1.187,0.073,1,13
2008-01-01 14:00:00,153.0,2.2213958333333332,0.09583333333333291,0.125,95.83333333333333,0.5516076388888884,0.0,2.216,153.0,0.053,0.832,0.0,1,14
2008-01-01 15:00:00,153.0,2.2217812500000003,0.09791666666666622,0.11250000000000002,95.75,0.5459427083333329,0.0,2.216,153.0,0.012,0.43,0.0,1,15
2008-01-01 16:00:00,153.0,2.222166666666667,0.09999999999999953,0.1,95.66666666666667,0.5402777777777773,0.0,2.216,153.0,0.0,0.34,0.0,1,16
2008-01-01 17:00:00,153.0,2.2225520833333334,0.10208333333333285,0.0875,95.58333333333333,0.5346128472222218,0.0,2.216,153.0,0.0,0.133,0.0,1,17
2008-01-01 18:00:00,153.0,2.2229375,0.10416666666666616,0.07500000000000001,95.5,0.5289479166666663,0.0,2.216,153.0,0.0,0.243,0.0,1,18
2008-01-01 19:00:00,153.0,2.2233229166666666,0.10624999999999946,0.0625,95.41666666666667,0.5232829861111107,0.0,2.216,153.0,0.0,0.207,0.0,1,19
2008-01-01 20:00:00,153.0,2.223708333333333,0.10833333333333277,0.05000000000000002,95.33333333333333,0.5176180555555552,0.0,2.216,153.0,0.0,0.152,0.0,1,20
2008-01-01 21:00:00,153.0,2.2240937499999998,0.11041666666666608,0.03750000000000003,95.25,0.5119531249999997,0.0,2.216,153.0,0.0,0.0,0.0,1,21
2008-01-01 22:00:00,153.0,2.224479166666667,0.11249999999999938,0.025000000000000022,95.16666666666667,0.5062881944444441,0.0,2.216,153.0,0.0,0.208,0.0,1,22
2008-01-01 23:00:00,153.0,2.2248645833333334,0.11458333333333269,0.012500000000000011,95.08333333333333,0.5006232638888886,0.0,2.216,153.0,0.0,0.049,0.0,1,23
2008-01-02 00:00:00,153.0,2.22525,0.116666666666666,0.0,95.0,0.494958333333333,0.0,2.216,153.0,0.0,0.069,0.0,2,0
2008-01-02 01:00:00,153.04166666666666,2.223835069444444,0.1194444444444438,0.0,95.0,0.4911163194444441,0.0,2.216,153.0,0.0,0.123,0.0,2,1
2008-01-02 02:00:00,153.08333333333334,2.2224201388888885,0.12222222222222158,0.0,95.0,0.48727430555555523,0.0,2.216,153.0,0.0,0.0,0.0,2,2
2008-01-02 03:00:00,153.125,2.2210052083333327,0.12499999999999938,0.0,95.0,0.48343229166666635,0.0,2.242,153.0,0.0,0.0,0.0,2,3
2008-01-02 04:00:00,153.16666666666666,2.2195902777777765,0.12777777777777716,0.0,95.0,0.4795902777777775,0.0,2.241,153.0,0.0,0.157,0.0,2,4
2008-01-02 05:00:00,153.20833333333334,2.2181753472222208,0.13055555555555495,0.0,95.0,0.47574826388888863,0.0,2.239,153.0,0.0,0.0,0.0,2,5
2008-01-02 06:00:00,153.25,2.216760416666665,0.13333333333333275,0.0,95.0,0.47190624999999975,0.0,2.238,153.0,0.0,0.176,0.0,2,6
