,Q_bar_Orig,H_bar_Orig,P_ger_Orig,P_Cigelka,P_Regetovka,P_bar,day_of_year,hour_of_day
2005-07-07 08:00:00,3.048,154.0,0.0,0.0,0.0,,188,8
2005-07-07 09:00:00,2.811,153.0,0.0,0.0,0.0,,188,9
2005-07-07 10:00:00,3.048,154.0,0.0,0.0,0.0,,188,10
2005-07-07 11:00:00,3.048,154.0,0.0,0.0,0.0,,188,11
2005-07-07 12:00:00,2.811,153.0,0.0,0.0,0.0,,188,12
2005-07-07 13:00:00,2.811,153.0,0.0,0.0,0.0,,188,13
2005-07-07 14:00:00,2.811,153.0,0.0,0.0,0.0,,188,14
2005-07-07 15:00:00,2.811,153.0,0.0,0.0,0.0,,188,15
2005-07-07 16:00:00,2.811,153.0,0.0,0.0,0.0,,188,16
2005-07-07 17:00:00,2.811,153.0,0.0,0.0,0.0,,188,17
2005-07-07 18:00:00,2.574,152.0,0.0,0.0,0.0,,188,18
2005-07-07 19:00:00,2.574,152.0,0.0,0.0,0.0,,188,19
2005-07-07 20:00:00,2.574,152.0,0.0,0.0,0.0,,188,20
2005-07-07 21:00:00,2.574,152.0,0.0,0.0,0.0,,188,21
2005-07-07 22:00:00,2.574,152.0,0.0,0.0,0.0,,188,22
2005-07-07 23:00:00,2.337,151.0,0.0,0.0,0.0,,188,23
2005-07-08 00:00:00,2.337,151.0,0.0,0.0,0.0,,189,0
2005-07-08 01:00:00,2.337,151.0,0.0,0.0,0.0,,189,1
2005-07-08 02:00:00,2.337,151.0,0.0,0.0,0.0,,189,2
2005-07-08 03:00:00,2.337,151.0,0.0,0.0,0.0,,189,3
2005-07-08 04:00:00,2.337,151.0,0.0,0.0,0.0,,189,4
2005-07-08 05:00:00,2.337,151.0,0.0,0.0,0.0,,189,5
2005-07-08 06:00:00,2.337,151.0,0.0,0.0,0.0,,189,6
2005-07-08 07:00:00,2.337,151.0,0.0,0.0,0.0,,189,7
2005-07-08 08:00:00,2.337,151.0,0.0,0.0,0.0,,189,8
2005-07-08 09:00:00,2.337,151.0,0.0,0.0,0.0,,189,9
2005-07-08 10:00:00,2.337,151.0,0.0,0.0,0.0,,189,10
2005-07-08 11:00:00,2.337,151.0,0.0,0.0,0.0,,189,11
2005-07-08 12:00:00,2.337,151.0,0.0,0.0,0.0,,189,12
2005-07-08 13:00:00,2.337,151.0,0.0,0.0,0.0,,189,13
2005-07-08 14:00:00,2.337,151.0,0.0,0.0,0.0,,189,14
2005-07-08 15:00:00,2.1,150.0,0.0,0.0,0.0,,189,15
2005-07-08 16:00:00,2.1,150.0,0.0,0.0,0.0,,189,16
2005-07-08 17:00:00,2.1,150.0,0.0,0.0,0.0,,189,17
2005-07-08 18:00:00,2.1,150.0,0.0,0.0,0.0,,189,18
2005-07-08 19:00:00,2.1,150.0,0.0,0.0,0.0,,189,19
2005-07-08 20:00:00,2.1,150.0,0.0,0.0,0.0,,189,20
2005-07-08 21:00:00,2.1,150.0,0.0,0.0,0.004,,189,21
2005-07-08 22:00:00,1.939,149.0,0.0,0.0,0.003,,189,22
2005-07-08 23:00:00,1.939,149.0,0.0,0.0,0.002,,189,23
2005-07-09 00:00:00,1.939,149.0,0.0,0.0,0.0,,190,0
2005-07-09 01:00:00,2.1,150.0,0.0,0.0,0.0,,190,1
2005-07-09 02:00:00,2.1,150.0,0.0,0.0,0.002,,190,2
2005-07-09 03:00:00,2.1,150.0,0.0,0.0,0.012,,190,3
2005-07-09 04:00:00,2.1,150.0,0.0,0.0,0.006,,190,4
2005-07-09 05:00:00,2.1,150.0,0.0,0.0,0.002,,190,5
2005-07-09 06:00:00,2.1,150.0,0.0,0.0,0.0,,190,6
2005-07-09 07:00:00,2.1,150.0,0.0,0.0,0.136,,190,7
2005-07-09 08:00:00,2.1,150.0,0.0,0.0,0.016,,190,8
2005-07-09 09:00:00,2.1,150.0,0.0,0.586,0.244,,190,9
2005-07-09 10:00:00,2.1,150.0,0.266,0.33,0.042,,190,10
